timestamp,plant_id,experiment_id,image_path,width,height
2025-01-13 22:00:52,1,1,plant4.jpg,0.28,0.46
2025-01-13 22:03:06,1,1,plant4.jpg,0.28,0.46
2025-01-13 22:23:11,1,1,plant5.jpg,0.51,0.61
2025-01-13 22:51:15,1,1,plant6.jpg,1.25,0.93
2025-01-13 22:51:47,1,1,plant6.jpg,1.25,0.93
2025-01-13 22:52:25,1,1,plant6.jpg,1.25,0.93
2025-01-13 22:52:25,1,1,plant6.jpg,1.58,1.9
2025-01-13 22:53:09,1,1,plant6.jpg,1.25,0.93
2025-01-13 22:53:09,1,1,plant6.jpg,1.58,1.9
2025-01-13 22:58:01,1,1,plant6.jpg,1.25,0.93
2025-01-13 22:58:01,1,1,plant6.jpg,1.58,1.9
2025-01-13 23:33:37,1,1,plant6.jpg,1.25,0.93
2025-01-13 23:33:37,1,1,plant6.jpg,1.58,1.9
2025-01-13 23:33:40,1,1,plant6.jpg,1.25,0.93
2025-01-13 23:33:40,1,1,plant6.jpg,1.58,1.9
2025-01-13 23:40:16,1,1,plant6.jpg,1.25,0.93
2025-01-13 23:40:16,1,1,plant6.jpg,1.58,1.9
2025-01-13 23:42:30,1,1,plant6.jpg,1.25,0.93
2025-01-13 23:42:30,1,1,plant6.jpg,1.58,1.9
2025-01-13 23:48:51,1,1,plant6.jpg,1.25,0.93
2025-01-13 23:48:51,1,1,plant6.jpg,1.58,1.9
2025-01-13 23:49:02,1,1,plant6.jpg,1.25,0.93
2025-01-13 23:49:02,1,1,plant6.jpg,1.58,1.9
2025-01-13 23:49:11,1,1,plant6.jpg,1.25,0.93
2025-01-13 23:49:11,1,1,plant6.jpg,1.58,1.9
2025-01-13 23:49:18,1,1,plant6.jpg,1.25,0.93
2025-01-13 23:49:18,1,1,plant6.jpg,1.58,1.9
2025-01-14 02:09:22,1,1,plant6.jpg,1.25,0.93
2025-01-14 02:09:22,1,1,plant6.jpg,1.58,1.9
2025-01-14 02:09:58,1,1,plant6.jpg,1.25,0.93
2025-01-14 02:09:58,1,1,plant6.jpg,1.58,1.9
2025-01-14 02:10:24,1,1,plant6.jpg,1.25,0.93
2025-01-14 02:10:24,1,1,plant6.jpg,1.58,1.9
2025-01-14 02:12:21,1,1,plant6.jpg,0.552662037037037,0.41118055555555555
2025-01-14 02:12:21,1,1,plant6.jpg,0.6985648148148148,0.8400462962962962
